词,高互动TFIDF,低互动TFIDF,倍数
全是,0.0003471317660830838,0.0010107814770991873,-1.9964044328472044
现在,0.0017680736544418033,0.0030435935074266812,-2.007169960811029
不是,0.002518403546988577,0.003955367313925981,-2.0390248320363358
内衣,0.0009716853423383818,0.002296867874813596,-2.0524335454861338
我们,0.003905304280667885,0.005339697677111121,-2.0571423912330964
副业,0.005231051448597597,0.010069165877057,-2.0585309133805993
宝宝,0.0006239967736850578,0.001725552858314904,-2.063783055418037
模特,0.00047471829015924624,0.001533633485240855,-2.063783055418037
时候,0.0011007816566144177,0.002164937071936916,-2.0732729653385484
统计学,0.007848271425016866,0.012674307104085762,-2.0789462321500918
东北,0.00019430587258432235,0.0013812256754304635,-2.079240978199245
小猫,0.0002773161253693707,0.0012329111105749315,-2.079240978199245
竟然,0.0011236656749039533,0.0023145115556816877,-2.0970904742985526
版本,0.00041459470946956026,0.0014533876416923757,-2.1306374279908717
锐评,0.0006193246755600154,0.0018503337650605212,-2.1306374279908717
出来,0.0008692853260529037,0.0023748335540746085,-2.1323006756853715
发现,0.0010496183145520688,0.0022756488309406417,-2.14947348114053
便宜,0.0004490404342984986,0.0012498350954537503,-2.1496818525920185
看到,0.0006301300565874944,0.001590657244131593,-2.1972151480932562
2000,9.088125074470228e-05,0.0010110830341448428,-2.198678379966688
讲义,4.679077109524788e-05,0.0007968279347950549,-2.198678379966688
逆天,0.00010026635668652337,0.001018033849317668,-2.198678379966688
意外,0.00048091490529741037,0.0016794369111352546,-2.2124768886293014
这次,0.0004230089931448536,0.001663010179220023,-2.2124768886293014
即将,0.00025527749439243974,0.0009969754376784768,-2.2196215690305947
